구분,제목,가사첫줄,코드,가사
가요,가난한 마음,나는 돌아가리라 쓸쓸한 바닷가로,Dm,"나는 돌아가리라 쓸쓸한 바닷가로
그곳에 작은 집을 짓고 돌담 쌓으면
영원한 행복이 찾아오리라
내 가난한 마음속에 찾아오리라

나는 돌아가리라 내 좋아하는 곳으로
다시는 돌아오지 않을 머나먼 곳에
나 돌아가리라

나는 돌아가리라 저 푸른 숲으로
이슬 젖은 풀 위에 누워 산허리에 달을 보면
그리운 모습들 비춰주리라
내 까만 눈동자에 비춰주리라

나는 돌아가리라 내 좋아하는 곳으로
다시는 돌아오지 않을 머나먼 곳에
나 돌아가리라"
가요,갈잎,갈잎이 우거진 언덕에 올라서,F,"갈잎이 우거진 언덕에 올라서
소리쳐 불러본 잊지 못할 그 이름
바람에 띄워 보낸 그립단 말 한마디
아~아~ 몰라 준다면 내 마음 어이 하려나

갈잎이 우거진 언덕에 올라서
소리쳐 불러본 잊지 못할 그 이름
바람에 띄워 보낸 그립단 말 한마디
아~아~ 몰라 준다면 내 마음 어이 하려나

갈잎이 우거진 언덕에 올라서
소리쳐 불러본 잊지 못할 그 이름"
가요,갑돌이와 갑순이,갑돌이와 갑순이는 한마을에 살았드래요,G,"갑돌이와 갑순이는 한마을에 살았더래요
둘이는 서로서로 사랑을 했더래요
그러나 둘이는 마음뿐이래요
겉으로는 음-음-음- 모르는 척 했더래요

그러다가 갑순이는 시집을 갔더래요
시집간 날 첫날 밤에 한없이 울었더래요
갑순이 마음은 갑돌이 뿐이래요
겉으로는 음-음-음- 안 그런 척 했더래요

갑돌이도 화가 나서 장가를 갔더래요
장가간 날 첫날 밤에 달 보고 울었더래요
갑돌이 마음은 갑순이 뿐이래요
겉으로는 음-음-음- 고까짓 것 했더래요"
가요,고요한 밤,고요한 밤 거룩한 밤 ,G,"고요한 밤 거룩한 밤 어둠에 묻힌 밤
주의 부모 앉아서 감사 기도 드릴 때
아기 잘도 잔다 아기 잘도 잔다

고요한 밤 거룩한 밤 영광이 둘린 밤
천군 천사 나타나 기뻐 노래 불렀네
구주 나셨도다 구주 나셨도다

고요한 밤 거룩한 밤 동방의 박사들
별을 보고 찾아와 꿇어 경배 드렸네
구주 나셨도다 구주 나셨도다

고요한 밤 거룩한 밤 주 예수 나신 밤
그의 얼굴 광채가 세상 빛이 되었네
구주 나셨도다 구주 나셨도다"
가요,구름 들꽃 돌 연인,새파란 잔디위에 누워 드높은 하늘을 보면,D,"새파란 잔디 위에 누워 드높은 하늘을 보면
두둥실 떠가는 구름 한 점은 내 작은 마음이어라

아무도 찾아오지 않는 산기슭 외딴 그늘에
이름도 없이 피어 있는 꽃 내 작은 기쁨이어라

솔나무 언덕길을 따라 오솔길 찾아 걸으면
발끝에 채이는 작은 돌들은 내 작은 사랑이어라

노래하는 어린이처럼 언제나 즐거운 모습
그 마음 항상 내 곁에 있어 내 작은 행복이어라

랄라라 라라라라 라라 랄라라 라라라라라
랄라라 라라 라라라라라 랄라라 라라라라라"
가요,구름과 나,라라라라라 바람에 흩어지는,Am,"바람에 흩어지는 한 올의 실구름아
갈래 갈래 내 나래는 토담골로 하늘거린다
바람에 일렁이는 철부지 먹구름아
설레이는 가슴 안고 동구 밖으로 뛰어간다

구름아 너는 어데로 가느냐
나는 달린다 하얀 고향으로
처음 외쳤던 그곳 그곳에 내가 있단다
아~ 젊음이여 푸르름이여
젊음이여 뜨거움이여 달려간다

구름아 너는 어데로 가느냐
나는 달린다 하얀 고향으로
처음 외쳤던 그곳 그곳에 내가 있단다
아~ 젊음이여 푸르름이여
젊음이여 뜨거움이여 달려간다"
가요,군밤 타령,바람이 분다 바람이 분다,G,"(후렴)
얼싸 좋네 아하 좋네 군밤이요
에라 생률 밤이로구나

바람이 분다 바람이 분다
연평 바다에 어얼사 돈바람 분다

달도 밝다 달도 밝다
우주강산에 어얼사 저 달이 밝아

눈이 온다 눈이 온다
이 산 저 산에 어얼사 흰 눈이 온다

개가 짖네 개가 짖네
눈치 없이도 어얼사 함부로 짖네

나는 총각 너는 처녀
처녀와 총각이 어얼사 잘 놀아난다

풍년이 온다 풍년이 와요
금수강산에 어얼사 풍년이 왔구나"
가요,귀를 막고 눈을 감고,태양을 사모하는 아이들아 별을 사랑하는 아이들아,G,"태양을 사모하는 아이들아
별을 사랑하는 아이들아

밤이 어두웠는데
눈 감고 가거라.

가진 바 씨앗을
뿌리면서 가거라.

발부리에 돌이 채이거든
감았던 눈을 와짝 떠라."
가요,그건너,모두들 잠들은 고요한 이밤에,Em,"모두들 잠들은 고요한 이 밤
어이해 나 홀로 잠 못 이루나
넘기는 책 속에 수많은 글들이
어이해 한 자도 뵈이질 않나
그건 너 그건 너 바로 너 때문이야
그건 너 그건 너 바로 너 때문이야

어제는 비가 오는 종로거리를
우산도 안 받고 혼자 걸었네
우연히 마주친 동창생 녀석이
너 미쳤니 하면서 껄껄 웃더군
그건 너 그건 너 바로 너 때문이야
그건 너 그건 너 바로 너 때문이야

전화를 걸려고 동전 바꿨네
종일토록 번호판과 씨름했었네
그러다가 당신이 받으면 끊었네
웬일인지 바보처럼 울고 말았네
그건 너 그건 너 바로 너 때문이야
그건 너 그건 너 바로 너 때문이야

그건 너 그건 너 그건 너..."
가요,그리운 사람끼리,그리운 사람끼리 두손을 잡고,Am,"그리운 사람끼리 두 손을 잡고
마주 보고 웃음 지며 함께 가는 길
두 손엔 풍선을 들고 두 눈엔 사랑 담고
가슴엔 하나 가득 그리움이래

그리운 사람끼리 두 눈을 감고
도란도란 속삭이며 걸어가는 길
가슴에 여울지는 푸르른 사랑
길목엔 하나 가득 그리움이래"
가요,기러기,달 밝은 가을밤에 기러기 들이 ,C,"달 밝은 가을밤에 기러기들이
찬 서리 맞으면서 어디로들 가나요
고단한 날개 쉬어 가라고
갈대들이 손을 저어 기러기를 부르네

산 넘고 물을 건너 머나먼 길을
훨훨 날아 우리 땅을 다시 찾아왔어요
기러기들이 살러 가는 곳
달아 달아 밝은 달아 너는 알고 있겠지",
가요,긴머리 소녀,빗소리 들으면 떠 오르는 모습 달처럼 참스런 하얀 얼굴,C,"빗소리 들리면 떠오르는 모습
달처럼 탐스런 하얀 얼굴
우연히 만났다 말없이 가버린
긴 머리 소녀야

눈먼 아이처럼 귀먼 아이처럼
조심조심 징검다리 건너던
개울 건너 작은 집의
긴 머리 소녀야

눈 감고 두 손 모아
널 위해 기도하리라

눈 감고 두 손 모아
널 위해 기도하리라
널 위해 기도하리라",
가요,길가에 앉아서,가방을 둘러맨 그 어께가 아름다워,G,"가방을 둘러맨 그 어깨가 아름다워
옆모습 보면서 정신없이 걷는데
활짝 핀 웃음이 내 발걸음 가벼웁게
온종일 걸어 다녀도 즐겁기만 하네

길가에 앉아서 얼굴 마주 보며
지나가는 사람들 우릴 쳐다보네
랄라라 랄라라 랄랄 라라라라라
랄라라랄 라랄라 랄라라라라랄라

가방을 흔드는 그 손이 아름다워
뒷모습 보면서 정신없이 걷는데
늘어진 가로수 내 발걸음 가벼웁게
온종일 걸어 다녀도 즐겁기만 하네

길가에 앉아서 얼굴 마주 보며
지나가는 사람들 우릴 쳐다보네
랄라라 랄라라 랄랄 라라라라라
랄라라랄 라랄라 랄라라라라랄라",
가요,나 어떻게,나 어떻게 너 갑자기 가버리면,Am,"나 어떡해 너 갑자기 가버리면
나 어떡해 너를 잃고 살아갈까
나 어떡해 나를 두고 떠나가면
그건 안돼 정말 안돼 가지마라

누구 몰래 다짐했던 비밀 있었나
다정했던 네가 상냥했던 네가 그럴 수 있나
못 믿겠어 떠난다는 그 말을
안 듣겠어 안녕이란 그 말을

다정했던 네가 상냥했던 네가 그럴 수 있나
못 믿겠어 떠난다는 그 말을
안 듣겠어 안녕이란 그 말을

나 어떡해 나 어떡해 나 어떡해 나 어떡해
나 어떡해 나 어떡해 나 어떡해 나 어떡해",
가요,내가,이세상에 기쁜 꿈 있으니 가득한 사랑의 눈을 내리고,Am,"이 세상에 기쁜 꿈 있으니 가득한 사랑의 눈을 내리고
우리 사랑에 노래 있다면 아름다운 생 찾으리다
이 세상에 슬픈 꿈 있으니 외로운 마음의 비를 적시고
우리 그리움에 날개 있다면 상념의 방랑자 되리다

이 내 마음 다하도록 사랑한다면 슬픔과 이별 뿐이네
이 내 온정 다하도록 사랑한다면 진실과 믿음 뿐이네
내가 말 없는 방랑자라면 이 세상의 돌이 되겠소
내가 님 찾는 떠돌이라면 이 세상 끝까지 가겠소

내가 말 없는 방랑자라면 이 세상의 돌이 되겠소
내가 님 찾는 떠돌이라면 이 세상 끝까지 가겠소
이 세상 끝까지 가겠소
이 세상 끝까지 가겠소",
가요,내님의 사랑은,내님의 사랑은 철따라 흘러간다,,"내 님의 사랑은 철따라 흘러간다
봄바람에 아롱대는 언덕 저편 아지랑이
내 님의 사랑은 철따라 흘러간다
푸른 물결 흰 파도 곱게 물든 저녁노을

사랑하는 그대여 내 품에 돌아오라
그대 없는 세상 난 누굴 위해 사나

내 님의 사랑은 철따라 흘러간다
가을바람에 떨어진 비에 젖은 작은 낙엽
내 님의 사랑은 철따라 흘러간다
새하얀 눈길 위로 남겨지는 발자욱들

사랑스런 그대여 내 품에 돌아오라
그대 그대 없는 세상 난 누굴 위해 사나
(우우우-) 사랑이 깊으면 외로움도 깊어라",
가요,노을,노을이 물드는 바닷가에서 줄지어 부서지는 파도를 보며,Em,"노을이 물드는 바닷가에서
줄지어 부서지는 파도를 보며
지난날의 못다 한 수많은 꿈을
남모르게 달래보는 호젓한 마음

짧은 여름밤의 꿈 설레이던 그날이
눈에 어린다
지난날의 못다 한 수많은 꿈을
남모르게 달래보는 호젓한 마음

짧은 여름밤의 꿈 설레이는 그날이
눈에 어린다
노을이 물드는 바닷가에서",
가요,눈이 큰 아이,내마음에 슬픔어린 추억있었지,,"내 마음에 슬픔 어린 추억 있었지
청바지를 즐겨 입던 눈이 큰 아이
이슬비 오는 밤길에는 우산을 들고
말없이 걷자 하던 눈이 큰 아이
내 마음에 슬픔 어린 추억 있었지
지금은 어딨을까 눈이 큰 아이

내 마음에 슬픔 어린 추억 있었지
청바지를 즐겨 입던 눈이 큰 아이
흰 눈이 오는 밤길에는 두 손을 잡고
말없이 따라 걷던 눈이 큰 아이
내 마음에 슬픔 어린 추억 있었지
지금도 생각나는 눈이 큰 아이

눈이 큰 아이 눈이 큰 아이",
가요,님그림자,저만치 앞서가는 님 뒤로 그립자 길게 드린 밤,C,"저만치 앞서가는 님 뒤로
그림자 길게 드린 밤
님의 그림자 밟으려 하니
서러움이 가슴에 이네

님은 나의 마음 헤아릴까
별만 헤듯 걷는 밤
휘황한 달빛 아래
님 뒤로 긴 그림자 밟을 날 없네

저만치 앞서가는 님 뒤로
그림자 길게 드린 밤
님의 그림자 밟으려 하니
서러움이 가슴에 이네

님은 나의 마음 헤아릴까
별만 헤듯 걷는 밤
휘황한 달빛 아래
님 뒤로 긴 그림자 밟을 날 없네",
가요,다정한 연인들 (젊은 연인들),다정한 연인이 손에 손을 잡고 걸어 가는길,C,"다정한 연인이 손에 손을 잡고 걸어가는 길
저기 멀리서 우리의 낙원이 손짓하며 우리를 부르네

길은 험하고 비바람 거세도 서로를 위하며
눈보라 속에도 손목을 꼭 잡고 따스한 온기를 나누리

이 세상 모든 것 내게서 멀어져 가도
언제까지나 너만은 내게 남으리

다정한 연인이 손에 손을 잡고 걸어가는 길
저기 멀리서 우리의 낙원이 손짓하며 우리를 부르네

이 세상 모든 것 내게서 멀어져 가도
언제까지나 너만은 내게 남으리

다정한 연인이 손에 손을 잡고 걸어가는 길
저기 멀리서 우리의 낙원이 손짓하며 우리를 부르네",
가요,달맞이꽃,얼마나 기다리다 꽃이 되었나,C#m E F#m,"얼마나 기다리다 꽃이 됐나
달 밝은 밤이 오면 홀로 피어
쓸쓸히 쓸쓸히 시들어가는
그 이름 달맞이꽃

아 아~ 아 아~
서산에 달님도 기울어
새파란 달빛 아래 고개 숙인
네 모습 애처롭구나

얼마나 그리우면 꽃이 됐나
찬 새벽 올 때까지 홀로 피어
쓸쓸히 쓸쓸히 시들어가는
그 이름 달맞이꽃",
가요,대답은 없어라,우 우 소리쳐불러도 우 우 대답은 없어라,C,"음~ 음~ 소리쳐 불러도
음~ 음~ 대답은 없어라
멀리 떨어져간 나의 사람아
마음만은 내 곁에 있어주려마
라~ 라~ 아무도 없어라

음~ 음~ 소리쳐 불러도
음~ 음~ 대답은 없어라
언제나 내 곁에 미소 띄우며
나만을 위해 말을 나누던
라~ 라~ 이제는 없어라

기쁨과 슬픔이 마주쳐질 때에
마음과 마음은 대답을 못 해요
저 멀리 떨어져 날 오라 부르는
나의 영혼은 알고 있겠지
라~ 라~ 대답은 없어라",
가요,더욱더 사랑해,사랑은 한순간의 꿈이라고,C,"사랑은 한순간의 꿈이라고
남들은 웃으면서 말을 해도
내 마음 모두 바친 그대
그 누가 뭐라 해도 더욱 더 사랑해

미움은 사랑 속에 있다면서
달빛이 구름 속에 가리워도
한마음 굳게 믿은 그대
가슴이 아프도록 더욱 더 사랑해

Believe me when I say how much I love you
Believe me when I say how much I care
Forgive me, give me peace of mind
All I need is time to prove my love for you

뜨겁게 사모하는 그대
불같은 마음으로 더욱 더 사랑해",
가요,동네 한바퀴,다같이 돌자 동네한바퀴,C,"다 같이 돌자 동네 한 바퀴
아침 일찍 일어나 동네 한 바퀴
우리 보고 나팔꽃 인사합니다
우리도 인사하며 동네 한 바퀴
바둑이도 같이 돌자 동네 한 바퀴",
가요,두개의 작은별,저별은 나의별 저별은 너의별,G,"저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지

별이 지면 꿈도 지고 슬픔만 남아요
창가에 지는 별들의 미소 잊을 수가 없어요
저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지

지난 겨울 눈 내리던 창가에 앉아서
단둘이 나눈 영원한 약속 잊을 수가 없어요
저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지",
가요,들길 따라서,들길 따라서 나홀로 걷고싶어,,"들길 따라서 나 홀로 걷고 싶어
작은 가슴에 고운 꿈 새기며
나는 한 마리 파랑새 되어
저 푸른 하늘로 날아가고파
사랑한 것은 너의 그림자
지금은 사라진 사랑의 그림자

물결 따라서 나 홀로 가고 싶어
작은 가슴에 고운 꿈 안으며
나는 한 조각 작은 배 되어
저 넓은 바다로 노 저어 가고파
사랑한 것은 너의 그림자
지금은 사라진 사랑의 그림자

들길 따라서 나 홀로 걷고 싶어
작은 가슴에 고운 꿈 새기며
나는 한 마리 파랑새 되어
저 푸른 하늘로 날아가고파
사랑한 것은 너의 그림자
지금은 사라진 사랑의 그림자",
가요,등불,비오는 저녁 홀로 일어나 창밖을 보니,C,"비오는 저녁 홀로 일어나 창밖을 보니
구름 사이로 푸른 빛을 보이는
내 하나 밖에 없는 등불을
외로운 나의 벗을 삼으니
축복받게 하소서
희망의 빛을 항상 볼 수 있도록
내게 행운을 내리소서

넓고 외로운 세상에서
길고 어둔 여행길 너와 나누리
하나의 꽃을 만나기 위해
긴긴밤들을 보람되도록
우리 두 사람은 저 험한 세상 등불이 되리

넓고 외로운 세상에서
길고 어둔 여행길 너와 나누리
하나의 꽃을 만나기 위해
긴긴밤들을 보람되도록
우리 두 사람은 저 험한 세상 등불이 되리
저 험한 세상 등불이 되리",
가요,딩동댕,딩동뎅 지난 여름 바닷가서 만났던 여인,Am,"딩동댕 지난 여름 바닷가서 만났던 여인
딩동댕 하고픈 이야기는 많았지만
딩동댕 너무나 짧았던 그대와의 밤
딩동댕 딩동댕 말이나 해 볼걸 또 만나자고
딩동댕 딩동댕 여름은 가버렸네 속절도 없이

딩동댕 지난 여름 우연히 잡았던 손목
딩동댕 가슴은 아프도록 뛰었지만
딩동댕 너무나 짧았던 그대와의 밤
딩동댕 딩동댕 말이나 해 볼걸 잊지 말자고
딩동댕 딩동댕 여름은 가버렸네 속절도 없이",
가요,또 만나요,빠빠빠 ,G D7,"지금은 우리가 헤어져야 할 시간
다음에 또 만나요
지금은 우리가 헤어져야 할 시간
다음에 다시 만나요

헤어지는 마음이야 아쉬웁지만
웃으면서 헤어져요
다음에 또 만날 날을 약속하면서
이제 그만 헤어져요

지금은 우리가 헤어져야 할 시간
다음에 또 만나요
지금은 우리가 헤어져야 할 시간
다음에 다시 만나요",
가요,만남,우리 만남은 우연이 아니야,C,"우리 만남은 우연이 아니야
그것은 우리의 바램이었어
잊기엔 너무한 나의 운명이었기에
바랄 수는 없지만 영원을 태우리

돌아보지 마라 후회하지 마라
아 바보 같은 눈물 보이지 마라
사랑해 사랑해 너를 너를 사랑해

돌아보지 마라 후회하지 마라
아 바보 같은 눈물 보이지 마라
사랑해 사랑해 너를 너를 사랑해
사랑해 사랑해 너를 너를 사랑해",
가요,맨처음 고백,말을 해도 좋을까 사랑하고 있다고,,"말을 해도 좋을까 사랑하고 있다고
마음 한번 먹는데 하루 이틀 사흘
돌아서서 말할까 마주 서서 말할까
이런저런 생각에 일주일 이주일

맨 처음 고백은 몹시도 힘이 들어라
땀만 흘리며 우물쭈물 바보 같으니
화를 내면 어쩌나 가버리면 어쩌나
눈치만 살피다가 한 달 두 달 세 달

내일 다시 만나면 속 시원히 말해야지
눈치만 살피다가 일 년 이 년 삼 년
눈치만 살피다가 지나는 한 평생",
가요,먼 훗날,행여나 날 찾아 왔다가 못 보고 가더라도,,"행여나 날 찾아왔다가 못 보고 가더라도
옛정에 매이지 말고 말없이 돌아가 주오
사랑이란 그런 것 생각이야 나겠지만
먼 훗날 그때는 이 사람도 떠난 후일 테니까

행여나 날 찾아왔다가 못 보고 가더라도
추억에 머물지 말고 말없이 돌아가 주오
사랑이란 그런 것 생각이야 나겠지만
먼 훗날 그때는 이 사람도 떠난 후일 테니까",
가요,메아리,산에 산에 산에는 산에 사는 메아리,,"산에 산에 산에는 산에 사는 메아리
언제나 찾아가서 외쳐 부르면
반가이 대답하는 산에 사는 메아리
벌거벗은 붉은 산엔 살 수 없어 갔다오
산에 산에 산에다 나무를 심자
산에 산에 산에다 옷을 입히자
메아리가 살게시리 나무를 심자",
가요,모닥불,모닥불 피워놓고 마주 앉아서,C,"모닥불 피워놓고 마주 앉아서
우리들의 이야기는 끝이 없어라
인생은 연기 속에 재를 남기고
말없이 사라지는 모닥불 같은 것
타다가 꺼지는 그 순간까지
우리들의 이야기는 끝이 없어라",
가요,모모,모모는 철부지 모모는 무지개,,"모모는 철부지 모모는 무지개
모모는 생을 쫓아가는 시계바늘이다
모모는 방랑자 모모는 외로운 그림자
너무 기뻐서 박수를 치듯이 날개짓하며
날아가는 니스의 새들을 꿈꾸는 모모는 환상가

그런데 왜 모모 앞에 있는 생은 행복한가
인간은 사랑 없이 살 수 없다는 것을
모모는 잘 알고 있기 때문이다

모모는 철부지 모모는 무지개
모모는 생을 쫓아가는 시계바늘이다",
가요,목로 주점,멋드러진 친구 내 오랜 친구야,,"멋드러진 친구 내 오랜 친구야
언제라도 그곳에서 껄껄껄 웃던
멋드러진 친구 내 오랜 친구야
언제라도 그곳으로 찾아오라던

이왕이면 더 큰 잔에 술을 따르고
이왕이면 마주 앉아 마시자 그랬지
그래 그렇게 마주 앉아서
그래 그렇게 부딪쳐보자
가장 멋진 목소리로 기원하려마
가장 멋진 웃음으로 화답해줄게

오늘도 목로주점 흙바람 벽엔
삼십촉 백열등이 그네를 탄다",
가요,뭉게구름,이땅이 끝나는 곳에서 뭉게구름이 되어,C,"이 땅이 끝나는 곳에서 뭉게구름이 되어
저 푸른 하늘 벗 삼아 훨훨 날아다니리라
이 하늘 끝까지 가는 날 맑은 빗물이 되어
가만히 이 땅에 내리면 어디라도 외로울까

이 땅의 끝에서 모두 다시 만나면
우리는 또다시 둥글게 뭉게구름 되리라",
가요,미소,그대는 아시나요 지나간 시절의 끔울,,"그대는 아시나요 지나간 옛 시절의 꿈을
못다한 많은 사연은 밤바람에 날려 보내리
외로운 마음은 누구의 선물인가
그대의 마음을 나에게 주오
장미꽃 향기처럼 부드러운 그대의 미소
아무도 주지 말아요 나에게만 영원하리라",
가요,밀려오는 파도소리,지나간 자욱 위에 또 다시 밀려오면,,"지나간 자욱 위에 또 다시 밀려오면
가여린 숨결로서 목놓아 울부짖는
내 작은 소망처럼 머리를 헤쳐풀고
포말로 부서지며 자꾸만 밀려오나
자꾸만 밀려가는 그 물결은 썰물

동여매는 가슴속을 풀어 뒹굴며 노래해
뒹굴며 노래해 부딪혀 노래해 부딪혀 노래해
가슴속으로 밀려와 비었던 가슴속을 채우려 하네 채우려 하네",
가요,바다의 여인,바닷가에서 우연히 만난 사람 바닷가에서 추억을 맺은 사람,Am,"바닷가에서 우연히 만난 사람
바닷가에서 추억을 맺은 사람
손잡고 해변을 단둘이 거닐며
파도 소리 들으며 사랑을 약속했던
그러나 부서진 파도처럼
쓸쓸한 추억만 남기고 가버린
바다의 여인아",
