구분,제목,가사첫줄,코드,가사
가요,더욱더 사랑해,사랑은 한순간의 꿈이라고,C,"사랑은 한순간의 꿈이라고
남들은 웃으면서 말을 해도
내 마음 모두 바친 그대
그 누가 뭐라 해도 더욱 더 사랑해

Believe me when I say how much I love you
Believe me when I say how much I care
Forgive me, give me peace of mind
All I need is each time 
to prove my love for you

미움은 사랑 속에 있다면서
달빛이 구름 속에 가리워도
한마음 굳게 믿은 그대
가슴이 아프도록 더욱 더 사랑해"
가요,두개의 작은별,저별은 나의별 저별은 너의별,G,"저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지

별이 지면 꿈도 지고 슬픔만 남아요
창가에 지는 별들의 미소 잊을 수가 없어요
저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지"
가요,목로 주점,멋드러진 친구 내 오랜 친구야,,"멋드러진 친구 내 오랜 친구야
언제라도 그곳에서 껄껄껄 웃던
멋드러진 친구 내 오랜 친구야
언제라도 그곳으로 찾아오라던

이왕이면 더 큰 잔에 술을 따르고
이왕이면 마주 앉아 마시자 그랬지
그래 그렇게 마주 앉아서
그래 그렇게 부딪쳐보자
가장 멋진 목소리로 기원하려마
가장 멋진 웃음으로 화답해줄게

오늘도 목로주점 흙바람 벽엔
삼십촉 백열등이 그네를 탄다 그네를 탄다 아아 그네를 탄다"
가요,얼룩 고무신,구비구비 고갯길을 다 지나서,C G Am F,"굽이굽이 고갯길을 다 지나서
돌다리를 쉬지않고 다 지나서
행여나 잠들었을 돌이 생각에
눈에 뵈는 작은 들이 멀기만 한데

구불구불 비탈길을 다 지나서
소나기를 맞으면서 다 지나서
개구리 울음소리 돌이 생각에
꿈속에 고무신을 다시 보았네

어허허이 우리돌이 우리돌이 얼룩 고무신
어허허이 우리돌이 우리돌이 얼룩 고무신"
가요,짝사랑,왜 그런지 가슴이 두근거려요 그녀만 보면,G D7 C,"왜 그런지 가슴이 두근거려요
그녀만 보면 그이만 보면
설레이는 마음을 달랠 길 없어
짝사랑하고 있나 봐요

반짝이는 별을 보고 둘이 앉아서
불타는 내 마음을 전하고 싶어

왜 그런지 가슴이 두근거려요
그녀만 보면 그이만 보면
설레이는 마음을 달랠 길 없어
짝사랑하고 있나 봐요"
가요,연가,비바람이 치던 바다 잔잔해져오면,C G7 F,"비 바람이 치던 바다 잔잔해져 오면
오늘 그대 오시려나 저 바다건너서
밤 하늘에 반짝이는 별빛도 아름답지만
사랑스런 그대 눈은 더욱 아름다워라

그대만을 기다리리 내사랑 영원히 기다리리~
그대만을 기다리리 내사랑 영원히 기다리리

비 바람이 치던 바다 잔잔해져 오면
오늘 그대 오시려나 저 바다건너서
밤 하늘에 반짝이는 별빛도 아름답지만
사랑스런 그대 눈은 더욱 아름다워라

그대만을 기다리리 내사랑 영원히 기다리리~
그대만을 기다리리 내사랑 영원히 기다리리
그대만을 기다리리 내사랑 영원히 기다리리~
그대만을 기다리리 내사랑 영원히 기다리리"
가요,해변으로 가요,별이 쏟아지는 해변으로가요,Am C Am C F E7 Am G Am,"별이 쏟아지는 해변으로 가요 (해변으로 가요)
젊음이 넘치는 해변으로 가요 (해변으로 가요)
달콤한 사랑을 속삭여줘요

불타는 그 입술 처음으로 느꼈네
사랑의 발자국 끝없이 남기며

별이 쏟아지는 해변으로 가요 (해변으로 가요)
젊음이 넘치는 해변으로 가요 (해변으로 가요)
달콤한 사랑을 속삭여줘요"
동요,사모하는 마음,그림자지고 별 반짝이면 더욱 그리운 나의 마음,D A7,"그림자 지고 별 반짝이면 더욱 그리운 나의 마음
세상 사람이 뭐라 해도 그대 없이 난 못 살겠네
사모하는 나의 마음 그대에게 보여주고
애태우는 나의 심정 그대에게 밝혀주리
우 야야 우~ 우 우 야야 우~ 우

출렁거리던 바닷물 소리 멀리 멀리 사라지고
잠 못 이루어 지새는 밤 동녘 하늘이 밝아오네
사모하는 나의 마음 그대에게 보여주고
애태우는 나의 심정 그대에게 밝혀주리"
동요,참 예쁘네요,새빨간 딸기가 왔어요 새빨간 딸기가 왔어요 ,C,"새빨간 딸기가 왔어요 새빨간
딸기가 왔어요 새빨간 
딸기가 왔어요 참 예쁘네요"
동요,고향땅,고향땅이 여기서 얼마나되나 푸른 하늘 끝 닿은 저기가 거긴가,G,"고향땅이 여기서 얼마나 되나
푸른 하늘 끝 닿은 저기가 거긴가
아카시아 흰 꽃이 바람에 날리니
고향에도 지금쯤 뻐꾹새 울겠네

고개 넘어 또 고개 아득한 고향
저녁마다 노을 지는 저기가 거긴가
날 저무는 논길로 휘파람 불면서
아이들도 지금쯤 소 몰고 오겠네"
동요,꼬부랑 할머니,꼬부랑 할머니가 꼬부랑 고갯길을,C,"꼬부랑 할머니가 꼬부랑 고갯길을
꼬부랑 꼬부랑 넘어가고 있네
꼬부랑 꼬부랑 꼬부랑 꼬부랑 고개는 열두 고개
고개를 고개를 넘어간다

꼬부랑 할머니가 꼬부랑 길에 앉아
꼬부랑 엿가락을 살며시 꺼냈네
꼬부랑 꼬부랑 꼬부랑 꼬부랑 고개는 열두 고개
고개를 고개를 넘어간다"
동요,달맞이,아가야 나오너라 달맞이 가자,C,"아가야 나오너라 달맞이 가자
앵두 따다 실에 꿰어 목에다 걸고
검둥개야 너도 가자 냇가로 가자"
가요,아름다운 사람,어두운비 내려오면 처마밑에 한아이 울고 서 있네,G D Em C,"어두운 비 내려오면 처마 밑에 한 아이 울고 서 있네
그 맑은 두 눈에 빗물 고이면 음-
아름다운 그이는 사람이어라

세찬 바람 불어오면 벌판에 한 아이 달려가네
그 더운 가슴에 바람 안으면 음-
아름다운 그이는 사람이어라

새하얀 눈 내려오면 산 위에 한 아이 우뚝 서 있네
그 고운 마음에 노래 울리면 음-
아름다운 그이는 사람이어라
그이는 아름다운 사람이어라"
옛가요,찔레꽃,찔레꽃 붉게 피는 남쪽 나라 내 고향,C F G,"찔레꽃 붉게 피는 남쪽나라 내 고향
언덕 위에 초가삼간 그립습니다
자주고름 입에 물고 눈물 젖어
이별가를 불러주던 못 잊을 사람아

달뜨는 저녁이면 노래하던 동창생
천리객창 푸른 별이 서럽습니다
삼년 전에 모여 앉아 벡인 사진
하염없이 바라보니 즐거운 시절아"
최신가요,오늘이 좋다,우리 모두 함께 모여 너무 오랜만에 모여,C G Am F,"우리 모두 함께 모여 너무 오랜만에 모여
지난날의 추억을 나눠보자
짧지 않은 시간 동안 누구는 저 세상으로
또 누구는 먼 나라로 떠났지만

그립던 너의 얼굴 너무 좋구나
니가 살아 있어 정말 고맙다
만만치 않은 세상살이 살다보니 외롭더라
니가 있어 웃을 수 있어 좋다

시집 안 간 내 친구야 외기러기 내 친구야
오늘은 내가 너의 벗이 될게
우리 서로 다른 길을 걸어왔지만
하나도 넌 변한 게 없구나

남은 인생 통틀어서 우리 몇 번이나 볼 수 있을까
내 친구야 남은 너의 인생에
저 하늘의 축복이 함께하길 바랄게
오늘이 좋다

술 한 잔에 해가 지고 또 한 잔에 달이 뜨니
너와 나의 청춘도 지는구나
잘난 놈은 잘난 대로 못난 놈은 못난 대로
모두 녹여 하나 되어 마시자

하지만 우리 너무 취하진 말자
아직도 가야 할 길이 멀구나
남은 인생 통틀어서 우리 몇 번이나 볼 수 있을까
내 친구야 남은 너의 인생에
저 하늘의 축복이 함께하길 바랄게
오늘이 좋다

남은 너의 인생에 저 하늘의 축복이 함께하길 바랄게
오늘이 좋다
오늘이 좋다"
가요,긴머리 소녀,빗소리 들으면 떠 오르는 모습 달처럼 참스런 하얀 얼굴,C,"빗소리 들리면 떠오르는 모습
달처럼 탐스런 하얀 얼굴
우연히 만났다 말없이 가버린
긴 머리 소녀야

눈먼 아이처럼 귀먼 아이처럼
조심조심 징검다리 건너던
개울 건너 작은 집의
긴 머리 소녀야

눈 감고 두 손 모아
널 위해 기도하리라

눈 감고 두 손 모아
널 위해 기도하리라
널 위해 기도하리라"
가요,젊었다,외롭던 사람아 너와나는 눈물을 보이지 말자,D A7,"외롭던 사람아 너와 나는 눈물을 보이지 말자
비바람 치던 날 너와 나는 뜨겁게 두 손을 잡았다
그대여 그대여 가진 것 없는 우리들
그러나 젊었다 너와 나는 태양처럼 젊었다"
가요,진주조개 잡이,새파란 수평선 흰구름 흐르는 오늘도 즐거워라 ,A E7,"새파란 수평선 흰구름 흐르는
오늘도 즐거워라 조개잡이 가는 처녀들
흥겨운 젊은 날의 콧노래로 발을 맞추며
부푸는 가슴마다 꿈을 담고 파도를 넘어

새파란 수평선 흰구름 흐르는
오늘도 즐거워라 조개잡이 가는 처녀들

흥겨운 젊은 날의 콧노래로 발을 맞추며
부푸는 가슴마다 꿈을 담고 파도를 넘어
새파란 수평선 흰구름 흐르는
오늘도 즐거워라 조개잡이 가는 처녀들
조개잡이 가는 처녀들"
