구분,제목,가사첫줄,코드,가사
가요,갑돌이와 갑순이,갑돌이와 갑순이는 한마을에 살았드래요,G,"갑돌이와 갑순이는 한마을에 살았더래요
둘이는 서로서로 사랑을 했더래요
그러나 둘이는 마음뿐이래요
겉으로는 음-음-음- 모르는 척 했더래요

그러다가 갑순이는 시집을 갔더래요
시집간 날 첫날 밤에 한없이 울었더래요
갑순이 마음은 갑돌이 뿐이래요
겉으로는 음-음-음- 안 그런 척 했더래요

갑돌이도 화가 나서 장가를 갔더래요
장가간 날 첫날 밤에 달 보고 울었더래요
갑돌이 마음은 갑순이 뿐이래요
겉으로는 음-음-음- 고까짓 것 했더래요"
동요,기러기,달 밝은 가을밤에 기러기 들이 ,C,"달 밝은 가을밤에 기러기들이
찬 서리 맞으면서 어디로들 가나요
고단한 날개 쉬어 가라고
갈대들이 손을 저어 기러기를 부르네

산 넘고 물을 건너 머나먼 길을
훨훨 날아 우리 땅을 다시 찾아왔어요
기러기들이 살러 가는 곳
달아 달아 밝은 달아 너는 알고 있겠지",
가요,긴머리 소녀,빗소리 들으면 떠 오르는 모습 달처럼 참스런 하얀 얼굴,C,"빗소리 들리면 떠오르는 모습
달처럼 탐스런 하얀 얼굴
우연히 만났다 말없이 가버린
긴 머리 소녀야

눈먼 아이처럼 귀먼 아이처럼
조심조심 징검다리 건너던
개울 건너 작은 집의
긴 머리 소녀야

눈 감고 두 손 모아
널 위해 기도하리라

눈 감고 두 손 모아
널 위해 기도하리라
널 위해 기도하리라",
가요,님그림자,저만치 앞서가는 님 뒤로 그립자 길게 드린 밤,C,"저만치 앞서가는 님 뒤로
그림자 길게 드린 밤
님의 그림자 밟으려 하니
서러움이 가슴에 이네

님은 나의 마음 헤아릴까
별만 헤듯 걷는 밤
휘황한 달빛 아래
님 뒤로 긴 그림자 밟을 날 없네

저만치 앞서가는 님 뒤로
그림자 길게 드린 밤
님의 그림자 밟으려 하니
서러움이 가슴에 이네

님은 나의 마음 헤아릴까
별만 헤듯 걷는 밤
휘황한 달빛 아래
님 뒤로 긴 그림자 밟을 날 없네",
가요,달맞이꽃,얼마나 기다리다 꽃이 되었나,C#m E F#m,"얼마나 기다리다 꽃이 됐나
달 밝은 밤이 오면 홀로 피어
쓸쓸히 쓸쓸히 시들어가는
그 이름 달맞이꽃

아 아~ 아 아~
서산에 달님도 기울어
새파란 달빛 아래 고개 숙인
네 모습 애처롭구나

얼마나 그리우면 꽃이 됐나
찬 새벽 올 때까지 홀로 피어
쓸쓸히 쓸쓸히 시들어가는
그 이름 달맞이꽃",
가요,대답은 없어라,우 우 소리쳐불러도 우 우 대답은 없어라,C,"음~ 음~ 소리쳐 불러도
음~ 음~ 대답은 없어라
멀리 떨어져간 나의 사람아
마음만은 내 곁에 있어주려마
라~ 라~ 아무도 없어라

음~ 음~ 소리쳐 불러도
음~ 음~ 대답은 없어라
언제나 내 곁에 미소 띄우며
나만을 위해 말을 나누던
라~ 라~ 이제는 없어라

기쁨과 슬픔이 마주쳐질 때에
마음과 마음은 대답을 못 해요
저 멀리 떨어져 날 오라 부르는
나의 영혼은 알고 있겠지
라~ 라~ 대답은 없어라",
가요,더욱더 사랑해,사랑은 한순간의 꿈이라고,C,"사랑은 한순간의 꿈이라고
남들은 웃으면서 말을 해도
내 마음 모두 바친 그대
그 누가 뭐라 해도 더욱 더 사랑해

미움은 사랑 속에 있다면서
달빛이 구름 속에 가리워도
한마음 굳게 믿은 그대
가슴이 아프도록 더욱 더 사랑해

Believe me when I say how much I love you
Believe me when I say how much I care
Forgive me, give me peace of mind
All I need is time to prove my love for you

뜨겁게 사모하는 그대
불같은 마음으로 더욱 더 사랑해",
가요,동네 한바퀴,다같이 돌자 동네한바퀴,C,"다 같이 돌자 동네 한 바퀴
아침 일찍 일어나 동네 한 바퀴
우리 보고 나팔꽃 인사합니다
우리도 인사하며 동네 한 바퀴
바둑이도 같이 돌자 동네 한 바퀴",
가요,두개의 작은별,저별은 나의별 저별은 너의별,G,"저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지

별이 지면 꿈도 지고 슬픔만 남아요
창가에 지는 별들의 미소 잊을 수가 없어요
저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지

지난 겨울 눈 내리던 창가에 앉아서
단둘이 나눈 영원한 약속 잊을 수가 없어요
저 별은 나의 별 저 별은 너의 별
별빛에 물들은 밤같이 까만 눈동자
저 별은 나의 별 저 별은 너의 별
아침이슬 내릴 때까지",
가요,들길 따라서,들길 따라서 나홀로 걷고싶어,G D Em C,"들길 따라서 나 홀로 걷고 싶어
작은 가슴에 고운 꿈 새기며
나는 한 마리 파랑새 되어
저 푸른 하늘로 날아가고파
사랑한 것은 너의 그림자
지금은 사라진 사랑의 그림자

물결 따라서 나 홀로 가고 싶어
작은 가슴에 고운 꿈 안으며
나는 한 조각 작은 배 되어
저 넓은 바다로 노 저어 가고파
사랑한 것은 너의 그림자
지금은 사라진 사랑의 그림자

들길 따라서 나 홀로 걷고 싶어
작은 가슴에 고운 꿈 새기며
나는 한 마리 파랑새 되어
저 푸른 하늘로 날아가고파
사랑한 것은 너의 그림자
지금은 사라진 사랑의 그림자",
가요,등불,비오는 저녁 홀로 일어나 창밖을 보니,C,"비오는 저녁 홀로 일어나 창밖을 보니
구름 사이로 푸른 빛을 보이는
내 하나 밖에 없는 등불을
외로운 나의 벗을 삼으니
축복받게 하소서
희망의 빛을 항상 볼 수 있도록
내게 행운을 내리소서

넓고 외로운 세상에서
길고 어둔 여행길 너와 나누리
하나의 꽃을 만나기 위해
긴긴밤들을 보람되도록
우리 두 사람은 저 험한 세상 등불이 되리

넓고 외로운 세상에서
길고 어둔 여행길 너와 나누리
하나의 꽃을 만나기 위해
긴긴밤들을 보람되도록
우리 두 사람은 저 험한 세상 등불이 되리
저 험한 세상 등불이 되리",
